shapeID,shapeLabel,propertyLabel,propertyID,mandatory,repeatable,valueDatatype,valueShape,valueConstraint,valueConstraintType,note
,Organization,Identifier,dct:identifier,FALSE,TRUE,xsd:anyURI xsd:string,,,,
,,Name,foaf:name,FALSE,FALSE,xsd:string,,,,
,,,,,,,,,,
,Subject,Identifier,dct:identifier,FALSE,FALSE,xsd:anyURI xsd:string,,,,
,,Display label,rdf:label,FALSE,FALSE,xsd:string,,,,
,,,,,,,,,,
,,,,,,,,,,
,Conference,Identifier,dct:identifier,FALSE,FALSE,xsd:anyURI xsd:string,,,,
,,Name,foaf:name,FALSE,FALSE,xsd:string,,,,
,,Date,dct:date,FALSE,FALSE,xsd:date,,,,Date according to ISO 8601-10
,,Location,https://schema.org/location,FALSE,FALSE,xsd:string,,,,
